sample	before_total_reads	before_total_bases	before_q30_rate	before_gc_content	after_total_reads	after_total_bases	after_q30_rate	after_gc_content
Cs1_rep1	200000	30000000	0.916258	0.440668	193668	29032206	0.929572	0.440049
Cs1_rep2	200000	30000000	0.919557	0.440388	194542	29161466	0.931249	0.439825
Cs2_rep1	200000	30000000	0.911096	0.440968	193620	29025808	0.92457	0.440136
Cs2_rep2	200000	30000000	0.914322	0.441484	193806	29053982	0.927391	0.440749
Cs3_rep1	200000	30000000	0.926485	0.441188	194878	29216036	0.93775	0.440565
Cs3_rep2	200000	30000000	0.920289	0.441009	193966	29078206	0.933158	0.440385
Cs4_rep1	200000	30000000	0.926122	0.441087	194558	29168776	0.938043	0.440457
Cs4_rep2	200000	30000000	0.93464	0.442091	195686	29335410	0.944209	0.441681
Cs5_rep1	200000	30000000	0.921174	0.441053	193644	29025780	0.934943	0.440409
Cs5_rep2	200000	30000000	0.926544	0.441728	194690	29184248	0.938196	0.441151
